country,calories_kcal_per_day,source_country,source_year
AFG,2635.025981,IRN,2020
AGO,2488.183911,AGO,2020
ALB,2532.579614,ALB,2020
ARE,2661.623456,ARE,2020
ARG,2511.653412,ARG,2020
ARM,2460.444617,ARM,2020
ASM,2839.7084,WSM,2020
ATG,2537.402301,ATG,2020
AUS,2595.565009,AUS,2020
AUT,2532.437063,AUT,2020
AZE,2623.685529,AZE,2020
BDI,2433.880331,BDI,2020
BEL,2538.688185,BEL,2020
BEN,2453.758376,BEN,2020
BFA,2522.391364,BFA,2020
BGD,2250.04921,BGD,2020
BGR,2510.932064,BGR,2020
BHS,2517.292722,BHS,2020
BIH,2715.70495,BIH,2020
BLR,2684.864599,BLR,2020
BLZ,2522.928494,BLZ,2020
BOL,2472.190355,BOL,2020
BRA,2487.930248,BRA,2020
BRB,2505.285624,BRB,2020
BRN,2391.007593,MYS,2020
BTN,2256.638282,NPL,2020
BWA,2502.959899,BWA,2020
CAF,2499.904138,CAF,2020
CAN,2536.304495,CAN,2020
CHE,2539.501189,CHE,2020
CHL,2507.066745,CHL,2020
CHN,2416.281357,CHN,2020
CIV,2540.529236,CIV,2020
CMR,2579.656387,CMR,2020
COD,2407.726364,COD,2020
COG,2493.334574,COG,2020
COL,2423.582375,COL,2020
COM,2484.59737,COM,2020
CPV,2622.967357,CPV,2020
CRI,2416.128738,CRI,2020
CUB,2506.089373,CUB,2020
CYP,2624.522797,CYP,2020
CZE,2663.374429,CZE,2020
DEU,2629.565182,DEU,2020
DJI,2466.717445,DJI,2020
DNK,2602.247147,DNK,2020
DOM,2640.097422,DOM,2020
DZA,2540.732924,DZA,2020
ECU,2448.450234,ECU,2020
EGY,2615.666834,EGY,2020
ERI,2374.203837,ETH,2020
ESP,2490.144123,ESP,2020
EST,2630.906695,EST,2020
ETH,2374.203837,ETH,2020
FIN,2612.202215,FIN,2020
FJI,2671.321327,FJI,2020
FRA,2469.777132,FRA,2020
GAB,2591.77638,GAB,2020
GBR,2579.279129,GBR,2020
GEO,2665.777273,GEO,2020
GHA,2466.283335,GHA,2020
GIN,2474.680789,GIN,2020
GMB,2539.22553,GMB,2020
GNB,2512.81178,GNB,2020
GNQ,2579.656387,CMR,2020
GRC,2496.970896,GRC,2020
GRD,2562.827869,GRD,2020
GTM,2344.371266,GTM,2020
GUF,2469.777132,FRA,2020
GUY,2470.34483,GUY,2020
HND,2444.893415,HND,2020
HRV,2607.720902,HRV,2020
HTI,2610.944022,HTI,2020
HUN,2542.396825,HUN,2020
IDN,2293.201244,IDN,2020
IND,2194.560289,IND,2020
IRL,2622.525226,IRL,2020
IRN,2635.025981,IRN,2020
IRQ,2545.907222,IRQ,2020
ISL,2643.480527,ISL,2020
ISR,2512.749624,ISR,2020
ITA,2368.968785,ITA,2020
JAM,2690.100357,JAM,2020
JOR,2655.403949,JOR,2020
JPN,2325.701992,JPN,2020
KAZ,2631.771328,KAZ,2020
KEN,2476.752968,KEN,2020
KGZ,2613.481719,KGZ,2020
KHM,2286.891501,KHM,2020
KOR,2275.946572,KOR,2020
LAO,2300.978583,LAO,2020
LBN,2498.877866,LBN,2020
LBR,2477.364173,LBR,2020
LBY,2578.564374,LBY,2020
LKA,2228.610391,LKA,2020
LSO,2504.42096,LSO,2020
LTU,2606.672764,LTU,2020
LUX,2620.364243,LUX,2020
LVA,2645.075177,LVA,2020
MAR,2506.84001,MAR,2020
MDA,2597.485217,MDA,2020
MDG,2361.638213,MDG,2020
MEX,2494.093276,MEX,2020
MKD,2523.03986,MKD,2020
MLI,2606.535675,MLI,2020
MLT,2439.776327,MLT,2020
MMR,2258.11678,MMR,2020
MNE,2765.864298,MNE,2020
MNG,2513.61778,MNG,2020
MOZ,2388.200787,MOZ,2020
MRT,2409.327045,MRT,2020
MUS,2423.430854,MUS,2020
MWI,2419.263499,MWI,2020
MYS,2391.007593,MYS,2020
NAM,2442.620373,NAM,2020
NER,2482.17851,NER,2020
NGA,2512.124829,NGA,2020
NIC,2561.233687,NIC,2020
NLD,2670.348969,NLD,2020
NOR,2553.358878,NOR,2020
NPL,2256.638282,NPL,2020
NZL,2646.042885,NZL,2020
OMN,2637.104571,OMN,2020
PAK,2327.180036,PAK,2020
PAN,2565.810606,PAN,2020
PER,2392.801772,PER,2020
PHL,2242.113764,PHL,2020
PNG,2518.075269,PNG,2020
POL,2559.514676,POL,2020
