country,risk_factor,exposure_g_per_day,source_country,source_year
AFG,fruits,80.21824543,AFG,2020
AFG,legumes,1.791960205,AFG,2020
AFG,nuts_seeds,1.959246236,AFG,2020
AFG,omega3,0.02350782723,AFG,2020
AFG,processed_meat,1.44785564,AFG,2020
AFG,red_meat,19.61771394,AFG,2020
AFG,vegetables,39.44530114,AFG,2020
AFG,whole_grains,37.07765081,AFG,2020
AGO,fruits,68.58400966,AGO,2020
AGO,legumes,5.589821784,AGO,2020
AGO,nuts_seeds,3.508499547,AGO,2020
AGO,omega3,0.3374035144,AGO,2020
AGO,processed_meat,4.866170042,AGO,2020
AGO,red_meat,21.92992595,AGO,2020
AGO,vegetables,29.55652512,AGO,2020
AGO,whole_grains,51.95156757,AGO,2020
ALB,fruits,304.4296164,ALB,2020
ALB,legumes,4.942332694,ALB,2020
ALB,nuts_seeds,3.348383861,ALB,2020
ALB,omega3,0.1929087426,ALB,2020
ALB,processed_meat,20.31213352,ALB,2020
ALB,red_meat,54.34339585,ALB,2020
ALB,vegetables,392.7715602,ALB,2020
ALB,whole_grains,26.73618854,ALB,2020
ARE,fruits,126.0000086,ARE,2020
ARE,legumes,17.30110804,ARE,2020
ARE,nuts_seeds,6.186575006,ARE,2020
ARE,omega3,0.483988916,ARE,2020
ARE,processed_meat,4.298906637,ARE,2020
ARE,red_meat,32.81960636,ARE,2020
ARE,vegetables,118.6767515,ARE,2020
ARE,whole_grains,18.65116783,ARE,2020
ARG,fruits,154.840223,ARG,2020
ARG,legumes,3.229255577,ARG,2020
ARG,nuts_seeds,0.7747710702,ARG,2020
ARG,omega3,0.2355690863,ARG,2020
ARG,processed_meat,8.845589605,ARG,2020
ARG,red_meat,121.4995476,ARG,2020
ARG,vegetables,107.8615691,ARG,2020
ARG,whole_grains,32.66462271,ARG,2020
ARM,fruits,208.7086614,ARM,2020
ARM,legumes,1.269720639,ARM,2020
ARM,nuts_seeds,1.604011533,ARM,2020
ARM,omega3,0.2005908601,ARM,2020
ARM,processed_meat,9.121457015,ARM,2020
ARM,red_meat,60.5155334,ARM,2020
ARM,vegetables,279.8778844,ARM,2020
ARM,whole_grains,42.3065672,ARM,2020
ASM,fruits,165.7977802,ASM,2020
ASM,legumes,10.31421495,ASM,2020
ASM,nuts_seeds,3.513469917,ASM,2020
ASM,omega3,1.081475188,ASM,2020
ASM,processed_meat,1.665815996,ASM,2020
ASM,red_meat,38.0828082,ASM,2020
ASM,vegetables,59.61850687,ASM,2020
ASM,whole_grains,9.845139058,ASM,2020
ATG,fruits,152.6638459,ATG,2020
ATG,legumes,3.342286463,ATG,2020
ATG,nuts_seeds,0.6841143071,ATG,2020
ATG,omega3,0.6412906293,ATG,2020
ATG,processed_meat,8.143488662,ATG,2020
ATG,red_meat,23.63467276,ATG,2020
ATG,vegetables,85.84006268,ATG,2020
ATG,whole_grains,13.24390413,ATG,2020
AUS,fruits,125.6717358,AUS,2020
AUS,legumes,5.029349529,AUS,2020
AUS,nuts_seeds,5.999159654,AUS,2020
AUS,omega3,0.5021530596,AUS,2020
AUS,processed_meat,16.40655012,AUS,2020
AUS,red_meat,102.4844882,AUS,2020
AUS,vegetables,128.2613707,AUS,2020
AUS,whole_grains,18.03879083,AUS,2020
AUT,fruits,160.763341,AUT,2020
AUT,legumes,2.727447336,AUT,2020
AUT,nuts_seeds,5.031031607,AUT,2020
AUT,omega3,0.4758582358,AUT,2020
AUT,processed_meat,17.74663231,AUT,2020
AUT,red_meat,75.62634304,AUT,2020
AUT,vegetables,147.8571025,AUT,2020
AUT,whole_grains,37.81713169,AUT,2020
AZE,fruits,149.3929863,AZE,2020
AZE,legumes,1.268402421,AZE,2020
AZE,nuts_seeds,2.382975171,AZE,2020
AZE,omega3,0.1190375467,AZE,2020
AZE,processed_meat,10.21783264,AZE,2020
AZE,red_meat,42.39393345,AZE,2020
AZE,vegetables,247.2802112,AZE,2020
AZE,whole_grains,44.07986906,AZE,2020
BDI,fruits,124.0945608,BDI,2020
BDI,legumes,17.40666671,BDI,2020
BDI,nuts_seeds,0.5133260179,BDI,2020
BDI,omega3,0.07298931112,BDI,2020
BDI,processed_meat,1.003196014,BDI,2020
BDI,red_meat,5.18086941,BDI,2020
BDI,vegetables,27.81300573,BDI,2020
BDI,whole_grains,26.41549017,BDI,2020
BEL,fruits,125.3212243,BEL,2020
BEL,legumes,5.224875073,BEL,2020
BEL,nuts_seeds,3.903661394,BEL,2020
BEL,omega3,0.4986361254,BEL,2020
BEL,processed_meat,23.15148183,BEL,2020
BEL,red_meat,63.62831442,BEL,2020
BEL,vegetables,192.3589953,BEL,2020
BEL,whole_grains,20.15242006,BEL,2020
BEN,fruits,50.69188767,BEN,2020
BEN,legumes,7.468525241,BEN,2020
BEN,nuts_seeds,9.214123778,BEN,2020
BEN,omega3,0.3305297072,BEN,2020
BEN,processed_meat,4.23379016,BEN,2020
BEN,red_meat,12.0470022,BEN,2020
BEN,vegetables,88.67628939,BEN,2020
BEN,whole_grains,53.42812948,BEN,2020
BFA,fruits,13.52533032,BFA,2020
BFA,legumes,13.33826842,BFA,2020
BFA,nuts_seeds,16.6090505,BFA,2020
BFA,omega3,0.1455158811,BFA,2020
BFA,processed_meat,3.660739539,BFA,2020
BFA,red_meat,31.67684883,BFA,2020
BFA,vegetables,26.63774005,BFA,2020
BFA,whole_grains,155.0707191,BFA,2020
BGD,fruits,41.21269204,BGD,2020
BGD,legumes,4.987202265,BGD,2020
BGD,nuts_seeds,0.8652639188,BGD,2020
BGD,omega3,0.8123795984,BGD,2020
BGD,processed_meat,2.763704963,BGD,2020
BGD,red_meat,6.210061055,BGD,2020
BGD,vegetables,44.06807609,BGD,2020
BGD,whole_grains,4.227850462,BGD,2020
BGR,fruits,94.95286773,BGR,2020
BGR,legumes,3.375308328,BGR,2020
BGR,nuts_seeds,3.344826399,BGR,2020
BGR,omega3,0.2067753577,BGR,2020
BGR,processed_meat,13.02590022,BGR,2020
BGR,red_meat,47.31414761,BGR,2020
BGR,vegetables,183.8373386,BGR,2020
BGR,whole_grains,42.31631966,BGR,2020
BHS,fruits,152.8598697,BHS,2020
BHS,legumes,0.7159260885,BHS,2020
BHS,nuts_seeds,2.191689148,BHS,2020
BHS,omega3,0.4628658791,BHS,2020
BHS,processed_meat,9.955097332,BHS,2020
BHS,red_meat,43.18687585,BHS,2020
BHS,vegetables,121.4891712,BHS,2020
BHS,whole_grains,18.05941848,BHS,2020
BIH,fruits,162.399848,BIH,2020
BIH,legumes,4.799251256,BIH,2020
BIH,nuts_seeds,2.26318489,BIH,2020
BIH,omega3,0.1545693972,BIH,2020
BIH,processed_meat,7.298797972,BIH,2020
BIH,red_meat,31.69660519,BIH,2020
BIH,vegetables,227.9544051,BIH,2020
BIH,whole_grains,51.40497402,BIH,2020
BLR,fruits,105.4303873,BLR,2020
BLR,legumes,0.6989949634,BLR,2020
BLR,nuts_seeds,2.455272671,BLR,2020
BLR,omega3,0.3407277362,BLR,2020
BLR,processed_meat,23.58117286,BLR,2020
BLR,red_meat,71.64355124,BLR,2020
BLR,vegetables,241.0416025,BLR,2020
BLR,whole_grains,44.22354592,BLR,2020
BLZ,fruits,154.0661243,BLZ,2020
