country,age,sex,sodium_urinary_g_per_day_mean,sodium_urinary_g_per_day_lower,sodium_urinary_g_per_day_upper,sbp_mmhg_mean,sbp_mmhg_lower,sbp_mmhg_upper,source_country,source_year
AFG,25-29,male,3.166283692,2.451343178,4.030199067,126.8023366,120.2726175,133.5118971,AFG,2020
AFG,25-29,female,2.344610655,1.908686304,2.853383317,121.1461195,114.3323018,128.2810077,AFG,2020
AFG,30-34,male,3.603222206,2.789621851,4.586355546,125.7232011,118.4541636,133.3372664,AFG,2020
AFG,30-34,female,2.60649571,2.121880088,3.172096551,124.4871604,117.4060407,131.9197299,AFG,2020
AFG,35-39,male,3.176866662,2.459536534,4.043669582,126.9365,120.5652001,133.5861457,AFG,2020
AFG,35-39,female,2.218728962,1.806209305,2.700185718,125.6063111,118.3771815,133.2690768,AFG,2020
AFG,40-44,male,2.756553403,2.134129167,3.508674532,130.1700627,123.7537732,136.9639153,AFG,2020
AFG,40-44,female,1.850245255,1.506236342,2.25174228,128.2255681,121.0154194,135.7377826,AFG,2020
AFG,45-49,male,2.701554573,2.091548963,3.43866936,131.9457735,125.6571382,138.5189657,AFG,2020
AFG,45-49,female,1.835066354,1.493879595,2.233269608,133.0114919,125.3496803,141.1351412,AFG,2020
AFG,50-54,male,2.580044184,1.997475376,3.284005059,134.3911795,126.5296923,142.8219065,AFG,2020
AFG,50-54,female,1.788435866,1.455918933,2.176520461,132.5706279,125.1134416,140.4113696,AFG,2020
AFG,55-59,male,2.510292403,1.943473408,3.195221617,137.5932879,130.7123536,144.7989565,AFG,2020
AFG,55-59,female,1.753759567,1.427689863,2.13431952,142.6199432,133.4646569,151.9997717,AFG,2020
AFG,60-64,male,2.579805696,1.997290739,3.2837015,139.9641733,133.0407665,147.2813021,AFG,2020
AFG,60-64,female,1.884913548,1.534458894,2.293933477,139.6293854,131.5857192,148.1586724,AFG,2020
AFG,65-69,male,2.618471284,2.027225714,3.33291693,142.1138831,134.6367653,149.7754579,AFG,2020
AFG,65-69,female,1.966462556,1.600845812,2.393178346,136.11515,127.2555612,145.1678729,AFG,2020
AFG,70-74,male,2.746937696,2.126684668,3.496435195,142.2728022,130.0190368,154.978535,AFG,2020
AFG,70-74,female,2.088090838,1.69986022,2.541199558,142.1568385,127.6572186,157.3759948,AFG,2020
AFG,75-79,male,3.202954017,2.479733418,4.076874831,142.8630153,130.5584157,155.6214574,AFG,2020
AFG,75-79,female,2.531280016,2.060648956,3.080559303,144.6232581,129.87207,160.1064667,AFG,2020
