country,nutrient,intake_g_per_day,source_country,source_year
AFG,omega3,0.02350782723,AFG,2020
AGO,omega3,0.3374035144,AGO,2020
ALB,omega3,0.1929087426,ALB,2020
ARE,omega3,0.483988916,ARE,2020
ARG,omega3,0.2355690863,ARG,2020
ARM,omega3,0.2005908601,ARM,2020
ASM,omega3,1.081475188,ASM,2020
ATG,omega3,0.6412906293,ATG,2020
AUS,omega3,0.5021530596,AUS,2020
AUT,omega3,0.4758582358,AUT,2020
AZE,omega3,0.1190375467,AZE,2020
BDI,omega3,0.07298931112,BDI,2020
BEL,omega3,0.4986361254,BEL,2020
BEN,omega3,0.3305297072,BEN,2020
BFA,omega3,0.1455158811,BFA,2020
BGD,omega3,0.8123795984,BGD,2020
BGR,omega3,0.2067753577,BGR,2020
BHS,omega3,0.4628658791,BHS,2020
BIH,omega3,0.1545693972,BIH,2020
BLR,omega3,0.3407277362,BLR,2020
BLZ,omega3,0.2068660547,BLZ,2020
BOL,omega3,0.1685693408,BOL,2020
BRA,omega3,0.3275072149,BRA,2020
BRB,omega3,0.5854257428,BRB,2020
BRN,omega3,0.659654442,BRN,2020
BTN,omega3,0.1761750802,BTN,2020
BWA,omega3,0.08046162636,BWA,2020
CAF,omega3,0.226930047,CAF,2020
CAN,omega3,0.4792354679,CAN,2020
CHE,omega3,0.4081517032,CHE,2020
CHL,omega3,0.3152980467,CHL,2020
CHN,omega3,0.4367079494,CHN,2020
CIV,omega3,0.3141067732,CIV,2020
CMR,omega3,0.3388993442,CMR,2020
COD,omega3,0.1576284859,COD,2020
COG,omega3,0.5550323731,COG,2020
COL,omega3,0.2876927612,COL,2020
COM,omega3,0.3089941352,COM,2020
CPV,omega3,0.2558020474,CPV,2020
CRI,omega3,0.3812967097,CRI,2020
CUB,omega3,0.2302125771,CUB,2020
CYP,omega3,0.43270882,CYP,2020
CZE,omega3,0.2769536171,CZE,2020
DEU,omega3,0.358326735,DEU,2020
DJI,omega3,0.06959566044,DJI,2020
DNK,omega3,0.4665394173,DNK,2020
DOM,omega3,0.2565754073,DOM,2020
DZA,omega3,0.1108223988,DZA,2020
ECU,omega3,0.2128827278,ECU,2020
EGY,omega3,0.5855946975,EGY,2020
ERI,omega3,0.1446914488,ERI,2020
ESP,omega3,0.622122253,ESP,2020
EST,omega3,0.958374631,EST,2020
ETH,omega3,0.02758253166,ETH,2020
FIN,omega3,1.070672615,FIN,2020
FJI,omega3,0.5812212795,FJI,2020
FRA,omega3,0.544463035,FRA,2020
GAB,omega3,0.7119305896,GAB,2020
GBR,omega3,0.5403857765,GBR,2020
GEO,omega3,0.2144982504,GEO,2020
GHA,omega3,0.5403571881,GHA,2020
GIN,omega3,0.2455098865,GIN,2020
GMB,omega3,0.3530449006,GMB,2020
GNB,omega3,0.03981969941,GNB,2020
GNQ,omega3,1.059224194,GNQ,2020
GRC,omega3,0.328989394,GRC,2020
GRD,omega3,0.5040332463,GRD,2020
GTM,omega3,0.1465672888,GTM,2020
GUF,omega3,0.544463035,FRA,2020
GUY,omega3,0.5517510007,GUY,2020
HND,omega3,0.1388491389,HND,2020
HRV,omega3,0.2994516357,HRV,2020
HTI,omega3,0.09107177696,HTI,2020
HUN,omega3,0.2698579237,HUN,2020
IDN,omega3,0.9135601517,IDN,2020
IND,omega3,0.2387286989,IND,2020
IRL,omega3,0.6620546255,IRL,2020
IRN,omega3,0.3073584186,IRN,2020
IRQ,omega3,0.1487675574,IRQ,2020
ISL,omega3,1.442079296,ISL,2020
ISR,omega3,0.7048709416,ISR,2020
ITA,omega3,0.4175522975,ITA,2020
