country,age,lx,ex
AFG,<1,100000.0,66.2893
AFG,1-4,95734.952,68.2352
AFG,5-9,94550.578,65.0694
AFG,10-14,94038.5,60.4118
AFG,15-19,93631.82,55.6628
AFG,20-24,92968.587,51.0406
AFG,25-29,92045.877,46.5266
AFG,30-34,91056.454,42.0048
AFG,35-39,89936.504,37.4958
AFG,40-44,88548.801,33.0427
AFG,45-49,86706.384,28.689
AFG,50-54,84105.383,24.4944
AFG,55-59,80373.494,20.509
AFG,60-64,75046.711,16.7773
AFG,65-69,67500.706,13.3583
AFG,70-74,57092.883,10.3154
AFG,75-79,43500.396,7.7307
AFG,80-84,27960.999,5.6249
AFG,85-89,13536.13,4.0564
AFG,90-94,4332.288,2.9503
AFG,95+,792.965,2.2127
AGO,<1,100000.0,64.8047
AGO,1-4,95231.311,67.0403
AGO,5-9,93691.957,64.1169
AGO,10-14,93113.712,59.5013
AGO,15-19,92674.896,54.7708
AGO,20-24,91979.588,50.1644
AGO,25-29,91009.817,45.6715
AGO,30-34,89881.904,41.2125
AGO,35-39,88520.055,36.8067
AGO,40-44,86777.11,32.4936
AGO,45-49,84498.684,28.2996
AGO,50-54,81474.542,24.2527
AGO,55-59,77339.237,20.4095
AGO,60-64,71817.155,16.7772
AGO,65-69,64159.968,13.4662
AGO,70-74,53979.484,10.5149
AGO,75-79,41039.838,8.0181
AGO,80-84,26673.542,5.988
AGO,85-89,13616.799,4.4161
AGO,90-94,4887.839,3.2807
AGO,95+,1100.606,2.467
ALB,<1,100000.0,79.7764
ALB,1-4,99288.116,79.3474
ALB,5-9,99167.393,75.4418
ALB,10-14,99071.111,70.5128
ALB,15-19,98952.612,65.594
ALB,20-24,98766.581,60.7126
ALB,25-29,98560.078,55.8345
ALB,30-34,98317.232,50.9661
ALB,35-39,98000.676,46.1221
ALB,40-44,97509.706,41.341
ALB,45-49,96840.29,36.6086
ALB,50-54,95826.609,31.9675
ALB,55-59,94321.332,27.4355
ALB,60-64,92072.081,23.0403
ALB,65-69,88594.069,18.8406
ALB,70-74,83432.283,14.8399
ALB,75-79,74297.591,11.3292
ALB,80-84,60287.802,8.3492
ALB,85-89,41523.618,5.9537
ALB,90-94,21640.831,4.1669
ALB,95+,7254.927,2.9335
ARE,<1,100000.0,83.0686
ARE,1-4,99497.107,82.4878
ARE,5-9,99382.741,78.5811
ARE,10-14,99327.53,73.6236
ARE,15-19,99277.452,68.6593
ARE,20-24,99165.326,63.7338
ARE,25-29,99008.429,58.8309
ARE,30-34,98857.762,53.9167
ARE,35-39,98690.553,49.0037
ARE,40-44,98479.645,44.1031
ARE,45-49,98185.756,39.2271
ARE,50-54,97736.276,34.3952
ARE,55-59,97085.04,29.6083
ARE,60-64,96173.036,24.864
ARE,65-69,94441.148,20.2682
ARE,70-74,90894.552,15.9529
ARE,75-79,84840.972,11.8961
ARE,80-84,73345.312,8.3276
ARE,85-89,52032.422,5.6289
ARE,90-94,25259.506,3.9891
ARE,95+,7989.25,2.8354
ARG,<1,100000.0,77.5434
ARG,1-4,99111.098,77.2377
ARG,5-9,98979.033,73.3384
ARG,10-14,98899.284,68.3957
ARG,15-19,98796.214,63.4641
ARG,20-24,98478.36,58.6596
ARG,25-29,98036.195,53.913
ARG,30-34,97587.889,49.149
ARG,35-39,97076.53,44.3944
ARG,40-44,96412.988,39.6819
ARG,45-49,95506.09,35.0336
ARG,50-54,94111.346,30.5131
ARG,55-59,91958.776,26.1647
