country,sex,age,lx,ex
AFG,female,<1,100000.0,67.8117
AFG,female,1-4,96120.127,69.5422
AFG,female,5-9,94924.727,66.3978
AFG,female,10-14,94450.187,61.7204
AFG,female,15-19,94070.822,56.9587
AFG,female,20-24,93483.535,52.2997
AFG,female,25-29,92689.503,47.7257
AFG,female,30-34,91766.621,43.18
AFG,female,35-39,90685.61,38.6641
AFG,female,40-44,89364.246,34.1975
AFG,female,45-49,87667.374,29.8088
AFG,female,50-54,85348.088,25.5473
AFG,female,55-59,82093.737,21.4556
AFG,female,60-64,77519.458,17.5657
AFG,female,65-69,70849.553,13.9697
AFG,female,70-74,61196.617,10.7562
AFG,female,75-79,47842.071,8.0307
AFG,female,80-84,31706.923,5.8223
AFG,female,85-89,15901.741,4.2008
AFG,female,90-94,5363.866,3.043
AFG,female,95+,1044.288,2.2678
AFG,male,<1,100000.0,64.7043
AFG,male,1-4,95366.098,66.8398
AFG,male,5-9,94192.246,63.652
AFG,male,10-14,93644.573,59.0114
AFG,male,15-19,93212.107,54.273
AFG,male,20-24,92477.348,49.6825
AFG,male,25-29,91432.804,45.2211
AFG,male,30-34,90379.334,40.719
AFG,male,35-39,89221.471,36.2141
AFG,male,40-44,87769.093,31.7702
AFG,male,45-49,85785.103,27.4439
AFG,male,50-54,82908.019,23.3042
AFG,male,55-59,78692.459,19.4105
AFG,male,60-64,72553.915,15.8291
AFG,male,65-69,63996.814,12.595
AFG,male,70-74,52688.478,9.7401
AFG,male,75-79,38775.194,7.3157
AFG,male,80-84,23819.913,5.3444
AFG,male,85-89,10942.332,3.8336
AFG,male,90-94,3211.623,2.7828
AFG,male,95+,520.436,2.089
AGO,female,<1,100000.0,67.3444
AGO,female,1-4,95722.26,69.3442
AGO,female,5-9,94258.54,66.3977
AGO,female,10-14,93723.995,61.7638
AGO,female,15-19,93330.51,57.0134
AGO,female,20-24,92765.293,52.3446
AGO,female,25-29,92031.253,47.7416
AGO,female,30-34,91147.813,43.1793
AGO,female,35-39,90057.019,38.6709
AGO,female,40-44,88648.546,34.2439
AGO,female,45-49,86799.161,29.9181
AGO,female,50-54,84353.753,25.7093
AGO,female,55-59,80958.372,21.6775
AGO,female,60-64,76315.456,17.8361
AGO,female,65-69,69603.545,14.3011
AGO,female,70-74,60162.678,11.1328
AGO,female,75-79,47308.243,8.4509
AGO,female,80-84,32041.642,6.2713
AGO,female,85-89,17161.683,4.5916
AGO,female,90-94,6498.061,3.3879
AGO,female,95+,1550.08,2.5325
AGO,male,<1,100000.0,62.2746
AGO,male,1-4,94743.708,64.7181
AGO,male,5-9,93130.839,61.8126
AGO,male,10-14,92509.925,57.2125
AGO,male,15-19,92026.653,52.4993
AGO,male,20-24,91203.426,47.9484
AGO,male,25-29,90000.84,43.5546
AGO,male,30-34,88630.512,39.1886
AGO,male,35-39,86999.204,34.8749
AGO,male,40-44,84923.597,30.6637
AGO,male,45-49,82216.799,26.5875
AGO,male,50-54,78608.094,22.6877
AGO,male,55-59,73706.013,19.0228
AGO,male,60-64,67269.939,15.593
AGO,male,65-69,58677.768,12.4943
AGO,male,70-74,47802.007,9.7496
AGO,male,75-79,34830.335,7.431
AGO,male,80-84,21363.208,5.5544
AGO,male,85-89,10075.331,4.1167
AGO,male,90-94,3272.696,3.0829
AGO,male,95+,655.031,2.3477
ALB,female,<1,100000.0,81.5929
ALB,female,1-4,99361.689,81.1161
ALB,female,5-9,99242.927,77.211
ALB,female,10-14,99141.192,72.2877
ALB,female,15-19,99017.159,67.375
ALB,female,20-24,98867.106,62.4735
ALB,female,25-29,98736.08,57.5531
ALB,female,30-34,98580.65,52.6397
ALB,female,35-39,98375.406,47.744
ALB,female,40-44,98041.79,42.8973
ALB,female,45-49,97572.701,38.0909
ALB,female,50-54,96861.082,33.3511
ALB,female,55-59,95856.638,28.6732
ALB,female,60-64,94381.252,24.0791
ALB,female,65-69,91916.107,19.6534
ALB,female,70-74,87976.735,15.4096
ALB,female,75-79,79141.786,11.8187
ALB,female,80-84,65413.646,8.7487
ALB,female,85-89,46460.353,6.2532
ALB,female,90-94,25455.998,4.3684
ALB,female,95+,9160.106,3.0523
ALB,male,<1,100000.0,77.9239
ALB,male,1-4,99219.238,77.5361
ALB,male,5-9,99096.686,73.6297
ALB,male,10-14,99005.401,68.6954
ALB,male,15-19,98891.929,63.7711
ALB,male,20-24,98673.081,58.9065
ALB,male,25-29,98396.349,54.065
ALB,male,30-34,98068.585,49.2371
ALB,male,35-39,97643.917,44.4398
ALB,male,40-44,97009.43,39.7131
ALB,male,45-49,96132.756,35.0512
ALB,male,50-54,94772.134,30.5158
ALB,male,55-59,92691.423,26.1412
ALB,male,60-64,89596.556,21.9523
ALB,male,65-69,85077.61,17.978
ALB,male,70-74,78699.719,14.2211
ALB,male,75-79,69300.784,10.7877
ALB,male,80-84,55090.13,7.8875
ALB,male,85-89,36570.938,5.5831
ALB,male,90-94,17895.198,3.8717
ALB,male,95+,5368.736,2.6979
ARE,female,<1,100000.0,84.3192
ARE,female,1-4,99556.138,83.6945
ARE,female,5-9,99444.852,79.7867
ARE,female,10-14,99395.825,74.8249
ARE,female,15-19,99348.335,69.8594
ARE,female,20-24,99298.768,64.8931
ARE,female,25-29,99247.199,59.9254
ARE,female,30-34,99163.891,54.9735
ARE,female,35-39,99067.027,50.0248
ARE,female,40-44,98948.621,45.0815
ARE,female,45-49,98772.172,40.1573
ARE,female,50-54,98486.858,35.2658
ARE,female,55-59,98064.814,30.4063
ARE,female,60-64,97476.317,25.5737
ARE,female,65-69,96120.739,20.8929
ARE,female,70-74,92666.355,16.5685
ARE,female,75-79,86707.765,12.5211
ARE,female,80-84,75951.473,8.9036
ARE,female,85-89,55928.783,6.119
ARE,female,90-94,29776.706,4.3106
ARE,female,95+,10575.3,3.0079
ARE,male,<1,100000.0,82.1677
ARE,male,1-4,99440.618,81.6292
ARE,male,5-9,99323.279,77.7239
ARE,male,10-14,99262.059,72.7706
ARE,male,15-19,99209.493,67.8076
ARE,male,20-24,99041.213,62.9179
ARE,male,25-29,98812.565,58.0579
ARE,male,30-34,98628.739,53.1615
ARE,male,35-39,98432.806,48.2622
ARE,male,40-44,98178.674,43.3804
ARE,male,45-49,97828.571,38.5261
ARE,male,50-54,97311.03,33.7169
ARE,male,55-59,96558.101,28.9592
ARE,male,60-64,95466.657,24.2598
ARE,male,65-69,93519.429,19.707
ARE,male,70-74,89906.671,15.3906
ARE,male,75-79,83754.492,11.3189
ARE,male,80-84,71540.276,7.7782
ARE,male,85-89,48994.982,5.1125
ARE,male,90-94,21510.355,3.5397
ARE,male,95+,5628.257,2.514
ARG,female,<1,100000.0,80.0198
ARG,female,1-4,99137.586,79.7148
ARG,female,5-9,98997.328,75.8253
ARG,female,10-14,98920.924,70.8821
ARG,female,15-19,98824.512,65.9485
ARG,female,20-24,98622.3,61.0782
ARG,female,25-29,98375.95,56.2248
ARG,female,30-34,98091.224,51.3805
ARG,female,35-39,97721.292,46.5651
ARG,female,40-44,97188.992,41.8056
ARG,female,45-49,96428.58,37.1144
ARG,female,50-54,95275.409,32.5313
ARG,female,55-59,93547.175,28.0831
ARG,female,60-64,90887.646,23.8266
ARG,female,65-69,86869.543,19.8061
ARG,female,70-74,81161.354,16.0137
ARG,female,75-79,73118.347,12.4851
ARG,female,80-84,61563.147,9.33
ARG,female,85-89,45127.69,6.7782
ARG,female,90-94,26311.306,4.8348
ARG,female,95+,10729.77,3.4788
ARG,male,<1,100000.0,74.9763
ARG,male,1-4,99085.894,74.6668
ARG,male,5-9,98961.63,70.7583
ARG,male,10-14,98878.705,65.8157
ARG,male,15-19,98769.349,60.8853
ARG,male,20-24,98342.115,56.137
ARG,male,25-29,97713.562,51.4822
ARG,male,30-34,97109.158,46.7871
ARG,male,35-39,96462.643,42.0835
ARG,male,40-44,95673.433,37.4093
ARG,male,45-49,94625.062,32.7944
ARG,male,50-54,92996.836,28.3215
ARG,male,55-59,90423.966,24.0511
ARG,male,60-64,86334.127,20.0634
ARG,male,65-69,80083.147,16.4219
ARG,male,70-74,71116.706,13.1615
ARG,male,75-79,59509.632,10.2234
ARG,male,80-84,44923.881,7.7011
ARG,male,85-89,28197.788,5.7866
ARG,male,90-94,13937.075,4.2709
ARG,male,95+,4791.17,3.1412
ARM,female,<1,100000.0,79.5948
ARM,female,1-4,99248.681,79.1963
ARM,female,5-9,99132.823,75.2872
