country,sex,cause,age,source_country,death_rate_per_1000
AFG,female,CHD,1-4,AFG,0.0
AFG,female,CHD,10-14,AFG,0.0
AFG,female,CHD,15-19,AFG,0.032400000000000005
AFG,female,CHD,20-24,AFG,0.0495
AFG,female,CHD,25-29,AFG,0.0852
AFG,female,CHD,30-34,AFG,0.1387
AFG,female,CHD,35-39,AFG,0.22510000000000002
AFG,female,CHD,40-44,AFG,0.2395
AFG,female,CHD,45-49,AFG,1.0554000000000001
AFG,female,CHD,5-9,AFG,0.0
AFG,female,CHD,50-54,AFG,2.6537
AFG,female,CHD,55-59,AFG,4.1994
AFG,female,CHD,60-64,AFG,6.6545000000000005
AFG,female,CHD,65-69,AFG,10.3925
AFG,female,CHD,70-74,AFG,16.2319
AFG,female,CHD,75-79,AFG,23.9419
AFG,female,CHD,80-84,AFG,32.084
AFG,female,CHD,85-89,AFG,56.3762
AFG,female,CHD,90-94,AFG,56.3762
AFG,female,CHD,95+,AFG,56.3762
AFG,female,CHD,<1,AFG,0.0
AFG,female,CKD,1-4,AFG,0.0089
AFG,female,CKD,10-14,AFG,0.0070999999999999995
AFG,female,CKD,15-19,AFG,0.0308
AFG,female,CKD,20-24,AFG,0.0445
AFG,female,CKD,25-29,AFG,0.0528
AFG,female,CKD,30-34,AFG,0.0689
AFG,female,CKD,35-39,AFG,0.1018
AFG,female,CKD,40-44,AFG,0.0849
AFG,female,CKD,45-49,AFG,0.3241
AFG,female,CKD,5-9,AFG,0.0077
AFG,female,CKD,50-54,AFG,0.8394999999999999
AFG,female,CKD,55-59,AFG,1.3435
AFG,female,CKD,60-64,AFG,2.0912
AFG,female,CKD,65-69,AFG,3.0206
AFG,female,CKD,70-74,AFG,4.3821
AFG,female,CKD,75-79,AFG,5.8349
AFG,female,CKD,80-84,AFG,7.3437
AFG,female,CKD,85-89,AFG,11.7726
AFG,female,CKD,90-94,AFG,11.7726
AFG,female,CKD,95+,AFG,11.7726
AFG,female,CKD,<1,AFG,0.0148
AFG,female,CRC,1-4,AFG,0.0
AFG,female,CRC,10-14,AFG,0.0
AFG,female,CRC,15-19,AFG,0.0023
AFG,female,CRC,20-24,AFG,0.0043
AFG,female,CRC,25-29,AFG,0.0070999999999999995
AFG,female,CRC,30-34,AFG,0.0138
AFG,female,CRC,35-39,AFG,0.0118
AFG,female,CRC,40-44,AFG,0.0209
AFG,female,CRC,45-49,AFG,0.0342
AFG,female,CRC,5-9,AFG,0.0
AFG,female,CRC,50-54,AFG,0.0584
AFG,female,CRC,55-59,AFG,0.0901
AFG,female,CRC,60-64,AFG,0.1374
AFG,female,CRC,65-69,AFG,0.1894
AFG,female,CRC,70-74,AFG,0.2554
AFG,female,CRC,75-79,AFG,0.2767
AFG,female,CRC,80-84,AFG,0.2601
AFG,female,CRC,85-89,AFG,0.2152
AFG,female,CRC,90-94,AFG,0.2152
AFG,female,CRC,95+,AFG,0.2152
AFG,female,CRC,<1,AFG,0.0
AFG,female,HaemorrhagicStroke,1-4,AFG,0.0102
AFG,female,HaemorrhagicStroke,10-14,AFG,0.0048
AFG,female,HaemorrhagicStroke,15-19,AFG,0.0241
AFG,female,HaemorrhagicStroke,20-24,AFG,0.0421
AFG,female,HaemorrhagicStroke,25-29,AFG,0.0571
AFG,female,HaemorrhagicStroke,30-34,AFG,0.0817
AFG,female,HaemorrhagicStroke,35-39,AFG,0.1343
AFG,female,HaemorrhagicStroke,40-44,AFG,0.1341
AFG,female,HaemorrhagicStroke,45-49,AFG,0.521
AFG,female,HaemorrhagicStroke,5-9,AFG,0.0066
AFG,female,HaemorrhagicStroke,50-54,AFG,1.1778
AFG,female,HaemorrhagicStroke,55-59,AFG,1.7852000000000001
AFG,female,HaemorrhagicStroke,60-64,AFG,2.3148
AFG,female,HaemorrhagicStroke,65-69,AFG,3.4865
AFG,female,HaemorrhagicStroke,70-74,AFG,4.6504
