age,sex,country,population
<1,female,AFG,626002.8
1-4,female,AFG,2504011.2
5-9,female,AFG,2766401.0
10-14,female,AFG,2429671.0
15-19,female,AFG,2190061.0
20-24,female,AFG,1878362.0
25-29,female,AFG,1499734.0
30-34,female,AFG,1148948.0
35-39,female,AFG,902738.0
40-44,female,AFG,756152.0
45-49,female,AFG,621262.0
50-54,female,AFG,496124.0
55-59,female,AFG,387287.0
60-64,female,AFG,295457.0
65-69,female,AFG,214512.0
70-74,female,AFG,157128.0
75-79,female,AFG,89427.0
80-84,female,AFG,42485.0
85-89,female,AFG,14422.0
90-94,female,AFG,3065.0
95+,female,AFG,378.0
all-a,female,AFG,19023628.0
<1,male,AFG,654883.6000000001
1-4,male,AFG,2619534.4
5-9,male,AFG,2902165.0
10-14,male,AFG,2557295.0
15-19,male,AFG,2300617.0
20-24,male,AFG,1945585.0
25-29,male,AFG,1536274.0
30-34,male,AFG,1172053.0
35-39,male,AFG,919218.0
40-44,male,AFG,764404.0
45-49,male,AFG,609130.0
50-54,male,AFG,457305.0
55-59,male,AFG,331775.0
60-64,male,AFG,242540.0
65-69,male,AFG,170774.0
70-74,male,AFG,115178.0
75-79,male,AFG,66605.0
80-84,male,AFG,29930.0
85-89,male,AFG,9200.0
90-94,male,AFG,1700.0
95+,male,AFG,156.0
all-a,male,AFG,19406322.0
<1,female,AGO,571389.2000000001
1-4,female,AGO,2285556.8
5-9,female,AGO,2472509.0
10-14,female,AGO,2057353.0
15-19,female,AGO,1660830.0
20-24,female,AGO,1388694.0
25-29,female,AGO,1227332.0
30-34,female,AGO,1068916.0
35-39,female,AGO,885677.0
40-44,female,AGO,721581.0
45-49,female,AGO,595684.0
50-54,female,AGO,501639.0
55-59,female,AGO,401455.0
60-64,female,AGO,301233.0
65-69,female,AGO,206001.0
70-74,female,AGO,141350.0
75-79,female,AGO,89306.0
80-84,female,AGO,46488.0
85-89,female,AGO,16892.0
90-94,female,AGO,3864.0
95+,female,AGO,692.0
all-a,female,AGO,16644442.0
<1,male,AGO,578720.0
1-4,male,AGO,2314880.0
5-9,male,AGO,2489191.0
10-14,male,AGO,2065034.9999999998
15-19,male,AGO,1657712.0
20-24,male,AGO,1374359.0
25-29,male,AGO,1204780.0
30-34,male,AGO,1042321.9999999999
35-39,male,AGO,855187.0
40-44,male,AGO,683937.0
45-49,male,AGO,546180.0
50-54,male,AGO,447052.0
55-59,male,AGO,360107.0
60-64,male,AGO,266774.0
65-69,male,AGO,175354.0
70-74,male,AGO,111661.0
75-79,male,AGO,61529.0
80-84,male,AGO,28652.0
85-89,male,AGO,9865.0
90-94,male,AGO,2239.0
95+,male,AGO,531.0
all-a,male,AGO,16276067.0
<1,female,ALB,15461.400000000001
1-4,female,ALB,61845.6
5-9,female,ALB,83817.0
10-14,female,ALB,81486.0
15-19,female,ALB,96280.0
20-24,female,ALB,116840.0
25-29,female,ALB,123377.0
30-34,female,ALB,101488.0
35-39,female,ALB,86596.0
40-44,female,ALB,84155.0
45-49,female,ALB,91306.0
50-54,female,ALB,97236.0
55-59,female,ALB,100751.0
60-64,female,ALB,92169.0
65-69,female,ALB,72071.0
70-74,female,ALB,53630.0
75-79,female,ALB,43577.0
80-84,female,ALB,29700.0
85-89,female,ALB,14927.0
90-94,female,ALB,5252.0
95+,female,ALB,1342.0
all-a,female,ALB,1453307.0
<1,male,ALB,16798.2
1-4,male,ALB,67192.8
5-9,male,ALB,91764.0
10-14,male,ALB,88849.0
15-19,male,ALB,103076.0
20-24,male,ALB,120138.0
25-29,male,ALB,125026.0
30-34,male,ALB,110754.0
35-39,male,ALB,85018.0
40-44,male,ALB,73610.0
45-49,male,ALB,78325.0
50-54,male,ALB,86396.0
55-59,male,ALB,93611.0
60-64,male,ALB,86734.0
65-69,male,ALB,67658.0
70-74,male,ALB,50336.0
75-79,male,ALB,39444.0
80-84,male,ALB,25783.0
85-89,male,ALB,11108.0
90-94,male,ALB,2868.0
95+,male,ALB,407.0
all-a,male,ALB,1424896.0
<1,female,ARE,51838.2
1-4,female,ARE,207352.8
5-9,female,ARE,273953.0
10-14,female,ARE,233288.0
15-19,female,ARE,207770.0
20-24,female,ARE,336089.0
25-29,female,ARE,379628.0
30-34,female,ARE,415274.0
35-39,female,ARE,394401.0
40-44,female,ARE,276259.0
45-49,female,ARE,178875.0
50-54,female,ARE,138180.0
55-59,female,ARE,113489.0
60-64,female,ARE,57213.0
65-69,female,ARE,28476.0
70-74,female,ARE,20531.0
75-79,female,ARE,6436.0
80-84,female,ARE,3820.0
85-89,female,ARE,1575.0
90-94,female,ARE,560.0
95+,female,ARE,126.0
all-a,female,ARE,3325134.0
<1,male,ARE,53889.8
1-4,male,ARE,215559.2
5-9,male,ARE,279562.0
10-14,male,ARE,239328.0
15-19,male,ARE,245084.0
20-24,male,ARE,516692.0
25-29,male,ARE,921818.0
30-34,male,ARE,998781.0
35-39,male,ARE,826040.0
40-44,male,ARE,613719.0
45-49,male,ARE,438726.0
50-54,male,ARE,299942.0
55-59,male,ARE,202196.0
60-64,male,ARE,98969.0
65-69,male,ARE,38194.0
70-74,male,ARE,26246.0
75-79,male,ARE,9861.0
80-84,male,ARE,5666.0
85-89,male,ARE,1971.0
90-94,male,ARE,611.0
95+,male,ARE,105.0
all-a,male,ARE,6032960.0
<1,female,ARG,340268.4
1-4,female,ARG,1361073.6
5-9,female,ARG,1810303.0
10-14,female,ARG,1739513.0
15-19,female,ARG,1694377.0
20-24,female,ARG,1711997.0
25-29,female,ARG,1720204.0
30-34,female,ARG,1621954.0
35-39,female,ARG,1583354.0
40-44,female,ARG,1515266.0
45-49,female,ARG,1317327.0
50-54,female,ARG,1149456.0
55-59,female,ARG,1092538.0
60-64,female,ARG,1007218.0
65-69,female,ARG,902480.0
70-74,female,ARG,759784.0
75-79,female,ARG,584667.0
80-84,female,ARG,412711.0
85-89,female,ARG,252786.0
90-94,female,ARG,118125.0
95+,female,ARG,38736.0
all-a,female,ARG,22734138.0
<1,male,ARG,358157.4
1-4,male,ARG,1432629.6
5-9,male,ARG,1916146.0
10-14,male,ARG,1840518.0
15-19,male,ARG,1777759.0
