risk_factor,cause,age,exposure_g_per_day,rr_mean,rr_low,rr_high
fruits,CHD,25-29,0.0,1.0,1.0,1.0
fruits,CHD,25-29,100.0,0.94,0.92,0.99
fruits,CHD,25-29,200.0,0.89,0.85,0.96
fruits,CHD,25-29,300.0,0.85,0.79,0.94
fruits,CHD,30-34,0.0,1.0,1.0,1.0
fruits,CHD,30-34,100.0,0.94,0.92,0.99
fruits,CHD,30-34,200.0,0.89,0.85,0.96
fruits,CHD,30-34,300.0,0.85,0.79,0.94
fruits,CHD,35-39,0.0,1.0,1.0,1.0
fruits,CHD,35-39,100.0,0.94,0.92,0.99
fruits,CHD,35-39,200.0,0.89,0.85,0.96
fruits,CHD,35-39,300.0,0.85,0.79,0.94
fruits,CHD,40-44,0.0,1.0,1.0,1.0
fruits,CHD,40-44,100.0,0.95,0.94,1.0
fruits,CHD,40-44,200.0,0.91,0.87,0.97
fruits,CHD,40-44,300.0,0.87,0.82,0.95
fruits,CHD,45-49,0.0,1.0,1.0,1.0
fruits,CHD,45-49,100.0,0.96,0.94,1.0
fruits,CHD,45-49,200.0,0.91,0.88,0.97
fruits,CHD,45-49,300.0,0.88,0.83,0.95
fruits,CHD,50-54,0.0,1.0,1.0,1.0
fruits,CHD,50-54,100.0,0.96,0.94,1.0
fruits,CHD,50-54,200.0,0.92,0.89,0.97
fruits,CHD,50-54,300.0,0.89,0.84,0.95
fruits,CHD,55-59,0.0,1.0,1.0,1.0
fruits,CHD,55-59,100.0,0.96,0.95,1.0
fruits,CHD,55-59,200.0,0.93,0.9,0.98
fruits,CHD,55-59,300.0,0.9,0.86,0.96
fruits,CHD,60-64,0.0,1.0,1.0,1.0
fruits,CHD,60-64,100.0,0.97,0.96,1.0
fruits,CHD,60-64,200.0,0.94,0.91,0.98
fruits,CHD,60-64,300.0,0.91,0.88,0.96
fruits,CHD,65-69,0.0,1.0,1.0,1.0
fruits,CHD,65-69,100.0,0.97,0.96,1.0
fruits,CHD,65-69,200.0,0.94,0.92,0.98
fruits,CHD,65-69,300.0,0.92,0.89,0.97
fruits,CHD,70-74,0.0,1.0,1.0,1.0
fruits,CHD,70-74,100.0,0.97,0.96,1.0
fruits,CHD,70-74,200.0,0.95,0.93,0.98
fruits,CHD,70-74,300.0,0.93,0.9,0.97
fruits,CHD,75-79,0.0,1.0,1.0,1.0
fruits,CHD,75-79,100.0,0.98,0.97,1.0
fruits,CHD,75-79,200.0,0.95,0.93,0.98
fruits,CHD,75-79,300.0,0.93,0.91,0.97
fruits,CHD,80-84,0.0,1.0,1.0,1.0
fruits,CHD,80-84,100.0,0.98,0.97,1.0
fruits,CHD,80-84,200.0,0.95,0.93,0.98
fruits,CHD,80-84,300.0,0.93,0.91,0.97
fruits,CHD,85-89,0.0,1.0,1.0,1.0
fruits,CHD,85-89,100.0,0.98,0.97,1.0
fruits,CHD,85-89,200.0,0.95,0.93,0.98
fruits,CHD,85-89,300.0,0.93,0.91,0.97
fruits,CHD,90-94,0.0,1.0,1.0,1.0
fruits,CHD,90-94,100.0,0.98,0.97,1.0
