risk_factor,cause,age,beta
fruits,CHD,25-29,1.8833625197323138
fruits,CHD,30-34,1.8833625197323138
fruits,CHD,35-39,1.8833625197323138
fruits,CHD,40-44,1.5612644501399704
fruits,CHD,45-49,1.4814063901154972
fruits,CHD,50-54,1.347572766053351
fruits,CHD,55-59,1.2209780538354846
fruits,CHD,60-64,1.0
fruits,CHD,65-69,0.9662738832705364
fruits,CHD,70-74,0.8409907900482853
fruits,CHD,75-79,0.8289771266988344
fruits,CHD,80-84,0.8289771266988344
fruits,CHD,85-89,0.8289771266988344
fruits,CHD,90-94,0.8289771266988344
fruits,CHD,95+,0.8289771266988344
fruits,Stroke,25-29,2.6265514199831737
fruits,Stroke,30-34,2.6265514199831737
fruits,Stroke,35-39,2.6265514199831737
fruits,Stroke,40-44,2.0978779009088315
fruits,Stroke,45-49,1.7180310300632882
fruits,Stroke,50-54,1.4721765257074553
fruits,Stroke,55-59,1.2319101103983054
fruits,Stroke,60-64,1.0
fruits,Stroke,65-69,0.8482886044195992
fruits,Stroke,70-74,0.6597451017248395
fruits,Stroke,75-79,0.542235120944416
fruits,Stroke,80-84,0.542235120944416
fruits,Stroke,85-89,0.542235120944416
fruits,Stroke,90-94,0.542235120944416
fruits,Stroke,95+,0.542235120944416
fruits,T2DM,25-29,1.0
fruits,T2DM,30-34,1.0
fruits,T2DM,35-39,1.0
fruits,T2DM,40-44,1.0
fruits,T2DM,45-49,1.0
fruits,T2DM,50-54,1.0
fruits,T2DM,55-59,1.0
fruits,T2DM,60-64,1.0
fruits,T2DM,65-69,1.0
fruits,T2DM,70-74,1.0
fruits,T2DM,75-79,1.0
fruits,T2DM,80-84,1.0
fruits,T2DM,85-89,1.0
fruits,T2DM,90-94,1.0
fruits,T2DM,95+,1.0
legumes,CHD,25-29,1.7677802175313722
legumes,CHD,30-34,1.7677802175313722
legumes,CHD,35-39,1.7677802175313722
legumes,CHD,40-44,1.4571000949562187
legumes,CHD,45-49,1.4197157854071394
legumes,CHD,50-54,1.3103920495214476
legumes,CHD,55-59,1.111957368398525
legumes,CHD,60-64,1.0
legumes,CHD,65-69,0.9018902540353488
legumes,CHD,70-74,0.806233510525117
legumes,CHD,75-79,0.7427546563209347
legumes,CHD,80-84,0.7427546563209347
legumes,CHD,85-89,0.7427546563209347
legumes,CHD,90-94,0.7427546563209347
legumes,CHD,95+,0.7427546563209347
nuts_seeds,CHD,25-29,1.8646835851615164
nuts_seeds,CHD,30-34,1.8646835851615164
nuts_seeds,CHD,35-39,1.8646835851615164
nuts_seeds,CHD,40-44,1.5436381635275271
nuts_seeds,CHD,45-49,1.477866422021123
nuts_seeds,CHD,50-54,1.3336897613972285
nuts_seeds,CHD,55-59,1.1566892951115233
nuts_seeds,CHD,60-64,1.0
nuts_seeds,CHD,65-69,0.9172599883946561
nuts_seeds,CHD,70-74,0.8437571109565797
nuts_seeds,CHD,75-79,0.7739566948352227
nuts_seeds,CHD,80-84,0.7739566948352227
nuts_seeds,CHD,85-89,0.7739566948352227
nuts_seeds,CHD,90-94,0.7739566948352227
nuts_seeds,CHD,95+,0.7739566948352227
processed_meat,CHD,25-29,1.8242623899813686
processed_meat,CHD,30-34,1.8242623899813686
processed_meat,CHD,35-39,1.8242623899813686
processed_meat,CHD,40-44,1.4718041267619915
processed_meat,CHD,45-49,1.421353534071962
processed_meat,CHD,50-54,1.3139133992658074
processed_meat,CHD,55-59,1.1413422469936718
processed_meat,CHD,60-64,1.0
processed_meat,CHD,65-69,0.881984825092677
processed_meat,CHD,70-74,0.8130196138770769
processed_meat,CHD,75-79,0.7438394508129198
processed_meat,CHD,80-84,0.7438394508129198
processed_meat,CHD,85-89,0.7438394508129198
processed_meat,CHD,90-94,0.7438394508129198
processed_meat,CHD,95+,0.7438394508129198
processed_meat,CRC,25-29,1.0
processed_meat,CRC,30-34,1.0
processed_meat,CRC,35-39,1.0
processed_meat,CRC,40-44,1.0
processed_meat,CRC,45-49,1.0
processed_meat,CRC,50-54,1.0
processed_meat,CRC,55-59,1.0
processed_meat,CRC,60-64,1.0
processed_meat,CRC,65-69,1.0
processed_meat,CRC,70-74,1.0
processed_meat,CRC,75-79,1.0
processed_meat,CRC,80-84,1.0
processed_meat,CRC,85-89,1.0
processed_meat,CRC,90-94,1.0
processed_meat,CRC,95+,1.0
processed_meat,T2DM,25-29,1.0
processed_meat,T2DM,30-34,1.0
processed_meat,T2DM,35-39,1.0
processed_meat,T2DM,40-44,1.0
processed_meat,T2DM,45-49,1.0
processed_meat,T2DM,50-54,1.0
processed_meat,T2DM,55-59,1.0
processed_meat,T2DM,60-64,1.0
processed_meat,T2DM,65-69,1.0
processed_meat,T2DM,70-74,1.0
processed_meat,T2DM,75-79,1.0
processed_meat,T2DM,80-84,1.0
processed_meat,T2DM,85-89,1.0
processed_meat,T2DM,90-94,1.0
processed_meat,T2DM,95+,1.0
red_meat,CHD,25-29,1.8533608191398583
red_meat,CHD,30-34,1.8533608191398583
red_meat,CHD,35-39,1.8533608191398583
red_meat,CHD,40-44,1.514021138982962
red_meat,CHD,45-49,1.4536179220247352
red_meat,CHD,50-54,1.331197803977189
red_meat,CHD,55-59,1.151953429288052
red_meat,CHD,60-64,1.0
red_meat,CHD,65-69,0.9042755915256485
red_meat,CHD,70-74,0.8230335585447941
red_meat,CHD,75-79,0.7639920326608738
red_meat,CHD,80-84,0.7639920326608738
red_meat,CHD,85-89,0.7639920326608738
red_meat,CHD,90-94,0.7639920326608738
red_meat,CHD,95+,0.7639920326608738
red_meat,CRC,25-29,1.0
red_meat,CRC,30-34,1.0
red_meat,CRC,35-39,1.0
red_meat,CRC,40-44,1.0
red_meat,CRC,45-49,1.0
red_meat,CRC,50-54,1.0
red_meat,CRC,55-59,1.0
red_meat,CRC,60-64,1.0
red_meat,CRC,65-69,1.0
red_meat,CRC,70-74,1.0
red_meat,CRC,75-79,1.0
red_meat,CRC,80-84,1.0
red_meat,CRC,85-89,1.0
red_meat,CRC,90-94,1.0
red_meat,CRC,95+,1.0
red_meat,Stroke,25-29,2.6192743415700073
red_meat,Stroke,30-34,2.6192743415700073
red_meat,Stroke,35-39,2.6192743415700073
red_meat,Stroke,40-44,2.087938499075944
red_meat,Stroke,45-49,1.78164315076434
red_meat,Stroke,50-54,1.4908868140237963
red_meat,Stroke,55-59,1.2272714534404914
red_meat,Stroke,60-64,1.0
red_meat,Stroke,65-69,0.8315103247536679
red_meat,Stroke,70-74,0.6747414069876676
red_meat,Stroke,75-79,0.5478204381428372
red_meat,Stroke,80-84,0.5478204381428372
red_meat,Stroke,85-89,0.5478204381428372
red_meat,Stroke,90-94,0.5478204381428372
red_meat,Stroke,95+,0.5478204381428372
red_meat,T2DM,25-29,1.0
red_meat,T2DM,30-34,1.0
red_meat,T2DM,35-39,1.0
red_meat,T2DM,40-44,1.0
red_meat,T2DM,45-49,1.0
red_meat,T2DM,50-54,1.0
red_meat,T2DM,55-59,1.0
red_meat,T2DM,60-64,1.0
red_meat,T2DM,65-69,1.0
red_meat,T2DM,70-74,1.0
red_meat,T2DM,75-79,1.0
red_meat,T2DM,80-84,1.0
red_meat,T2DM,85-89,1.0
red_meat,T2DM,90-94,1.0
red_meat,T2DM,95+,1.0
vegetables,CHD,25-29,1.914839473068518
vegetables,CHD,30-34,1.914839473068518
vegetables,CHD,35-39,1.914839473068518
vegetables,CHD,40-44,1.5061653833125415
vegetables,CHD,45-49,1.4961613096222048
vegetables,CHD,50-54,1.3730311416878043
vegetables,CHD,55-59,1.1950356712564572
vegetables,CHD,60-64,1.0
vegetables,CHD,65-69,0.9041196713786106
vegetables,CHD,70-74,0.8288304878622725
vegetables,CHD,75-79,0.8092988155824231
vegetables,CHD,80-84,0.8092988155824231
vegetables,CHD,85-89,0.8092988155824231
vegetables,CHD,90-94,0.8092988155824231
vegetables,CHD,95+,0.8092988155824231
vegetables,Stroke,25-29,2.580974224704974
vegetables,Stroke,30-34,2.580974224704974
vegetables,Stroke,35-39,2.580974224704974
vegetables,Stroke,40-44,2.042565776585916
vegetables,Stroke,45-49,1.7777351079410646
vegetables,Stroke,50-54,1.4268774710843768
vegetables,Stroke,55-59,1.2565112261258997
vegetables,Stroke,60-64,1.0
