curve_cause,age,beta
CHD,25-29,1.9969816564754328
CHD,30-34,1.757857125845925
CHD,35-39,1.4993211605189625
CHD,40-44,1.3227987583811647
CHD,45-49,1.2448782023872875
CHD,50-54,1.1668151235985305
CHD,55-59,1.084590192650101
CHD,60-64,1.0
CHD,65-69,0.912904428067698
CHD,70-74,0.8386695809470696
CHD,75-79,0.778353715826002
CHD,80-84,0.6936366151293244
CHD,85-89,0.6936366151293244
CHD,90-94,0.6936366151293244
CHD,95+,0.6936366151293244
CKD,25-29,1.0
CKD,30-34,1.0
CKD,35-39,1.0
CKD,40-44,1.0
CKD,45-49,1.0
CKD,50-54,1.0
CKD,55-59,1.0
CKD,60-64,1.0
CKD,65-69,1.0
CKD,70-74,1.0
CKD,75-79,1.0
CKD,80-84,1.0
CKD,85-89,1.0
CKD,90-94,1.0
CKD,95+,1.0
Stroke,25-29,1.7820590374480096
Stroke,30-34,1.6547330852796722
Stroke,35-39,1.5215307711407768
Stroke,40-44,1.406814432250837
Stroke,45-49,1.309441683613058
Stroke,50-54,1.210567822802622
Stroke,55-59,1.1081868395329484
Stroke,60-64,1.0
Stroke,65-69,0.8897218386100751
Stroke,70-74,0.7970480621206503
Stroke,75-79,0.7216048512378059
Stroke,80-84,0.5287026894152657
Stroke,85-89,0.5287026894152657
Stroke,90-94,0.5287026894152657
Stroke,95+,0.5287026894152657
